business_time,business_job_openings,business_review,plat_customer_support_cnt_t3m,plat_dashboard_cnt_t3m,plat_trsct_acct_flag,plat_saving_acct_flag,plat_login_cnt_t1m,fin_revenue,fin_profit,fin_assets,fin_liabilities,tran_vol_t1m,tran_vol_t3m,tran_cnt_t3m,tran_inflow_t3m,tran_outflow_t3m,credit_score,credit_lines_cnt,credit_current_amt,credit_default_cnt_t12m,credit_inquiry_cnt_t3m,credit_court_cnt_t12m,loan_amount,loan_late_repayment_cnt,loan_interest_rate,loan_utilization_amount,drv_income_pm_avg_t3m,drv_profit_margin_rate,drv_asset_liability_rate,drv_loan_util_rate,drv_inflow_outflow_rate_t3m,drv_tran_vol_std_t12m,drv_inflow_std_t6m,drv_trans_vol_prop_t1t3,business_industry_manufacturing,business_industry_retail,business_industry_services,business_structure_company,business_location_urban
7,8,1,0,0,1,1,4,255408,50689,615786,273904,30243,160315,0,57289,46407,578,9,698814,0,1,0,16127,0,0.12,3659,3627.3333333333335,0.19846285159431185,2.2481818447339212,0.22688658771005146,1.2344904863490422,835.0212146844967,564.4189810895194,0.18864735052864673,True,False,False,False,False
19,7,4,0,1,1,1,5,53345,10665,299230,80719,4586,16759,122,12478,14101,518,7,664839,0,1,2,30591,0,0.14,3535,-541.0,0.19992501640266191,3.7070578178619655,0.11555686312967867,0.8849017800156017,868.7108391693781,225.13349338439247,0.273644012172564,True,False,False,False,False
18,2,2,1,0,1,0,5,53776,3765,440545,181624,4138,22296,0,14322,11808,505,9,244431,0,0,0,8355,0,0.12,599,838.0,0.07001264504611723,2.425588028013919,0.07169359664871335,1.2129065040650406,100.23978300641545,949.2981581247354,0.18559382848941514,False,False,True,False,False
5,0,2,0,0,1,0,4,1010682,82411,7694431,1041117,90853,338637,0,210223,238986,612,3,153657,0,0,0,26654,1,0.15,26654,-9587.666666666666,0.08153998982865036,7.390553607327514,1.0,0.8796456696208146,522.7846895975406,870.913460812799,0.26829023408546615,True,False,False,False,False
1,1,1,0,0,1,0,14,47194,6178,194704,73423,7839,18799,0,12594,11358,507,2,125484,0,0,0,15183,0,0.11,4399,412.0,0.13090647116158835,2.6518121024747012,0.2897319370348416,1.1088219756999471,695.1341757194594,356.7361317182118,0.41699026543965106,False,False,False,False,False
4,4,4,2,0,1,1,9,48586,9557,404895,101825,4855,6149,573,12042,12411,511,2,5006,0,0,0,41890,0,0.11,6214,-123.0,0.19670275387971844,3.9763810459121043,0.1483408928145142,0.9702683103698332,253.69603862751345,191.7074970755912,0.7895592779313709,False,False,True,True,False
15,1,4,1,0,1,0,9,42177,11567,199447,77421,3828,12090,0,12589,10565,516,7,44758,0,2,0,32286,0,0.14,8152,674.6666666666666,0.27424899826919885,2.576135673783599,0.2524933407668959,1.1915759583530525,195.4017989700594,178.90812555947676,0.31662531017369727,False,False,True,False,False
16,2,3,1,0,1,0,11,45762,9762,103397,45553,5800,15102,255,11630,10224,516,8,549440,0,1,0,29742,0,0.12,8328,468.6666666666667,0.21332109610593944,2.2698175751322633,0.2800080693968126,1.1375195618153364,572.7723474149125,605.5056669276923,0.3840550920407893,False,True,False,True,False
6,9,2,0,0,1,0,5,57767,12887,543873,142186,4734,18025,0,14923,12633,516,2,74464,0,1,0,1006,0,0.15,122,763.3333333333334,0.22308584485952188,3.82508123162618,0.12127236580516898,1.1812712736483812,541.0213738653163,418.96570733549675,0.26263522884882107,False,False,False,True,False
8,5,2,0,0,1,0,13,58276,5949,240365,39650,2625,14701,0,13295,12528,507,6,79332,0,1,0,16147,0,0.11,4144,255.66666666666666,0.10208319033564417,6.062168978562421,0.2566421006998204,1.0612228607918264,723.5797804967248,702.2280785516401,0.17855928168151827,False,True,False,True,False
7,3,5,1,1,1,1,17,47302,3881,437597,100170,2875,4572,562,11078,10994,506,7,567315,0,0,0,31349,1,0.16,8717,28.0,0.08204727072851042,4.368543476090646,0.2780630961115187,1.0076405311988357,701.1506867292377,554.7309079102002,0.628827646544182,True,False,False,True,False
18,9,4,0,0,1,1,4,41591,7806,297604,148612,3432,4625,0,11410,12492,510,4,270392,0,1,0,22811,0,0.14,7357,-360.6666666666667,0.18768483566156138,2.0025569940516244,0.32251983692078384,0.9133845661223183,557.8439156605057,705.4563254778695,0.742054054054054,False,False,True,True,False
16,2,4,0,1,0,0,2,59505,14035,254363,58054,8823,52171,0,15256,16253,516,8,319320,0,1,0,6227,0,0.2,1471,-332.3333333333333,0.23586253256028905,4.381489647569504,0.23622932391199614,0.9386574786193318,989.7207372739562,351.5043252246922,0.16911694236261524,False,True,False,True,True
9,1,4,0,0,1,1,6,959845,218847,3475464,1272372,102781,126648,0,244500,240137,826,1,14445,0,1,0,27641,0,0.14,1848,1454.3333333333333,0.22800243789361824,2.7314841885863568,0.06685720487681343,1.0181687953126757,279.09533589909483,155.50878150854942,0.8115485439959573,False,False,True,False,True
8,7,4,0,1,1,1,6,46437,4474,352986,97761,7463,17150,320,11076,12711,505,5,187370,0,2,2,17758,2,0.19,3418,-545.0,0.09634558649352887,3.6107036548316813,0.1924766302511544,0.8713712532452207,200.25151358915326,709.8626954843487,0.4351603498542274,False,False,False,False,False
9,9,4,0,0,1,1,11,49569,4127,223491,107469,5684,12609,524,10575,11774,506,7,43239,0,0,0,10797,0,0.12,9069,-399.6666666666667,0.08325768121204785,2.0795857410043825,0.8399555432064463,0.8981654492950569,834.8663884426976,364.04989079211424,0.4507891188833373,False,False,True,False,False
3,9,3,0,0,1,1,14,57943,11021,167408,51526,5799,25487,0,16473,19386,513,7,71246,0,0,0,45899,0,0.16,3723,-971.0,0.1902041661632984,3.2490005045996195,0.08111287827621516,0.8497369235530795,235.99057783976562,644.1589310518741,0.22752775924981364,False,True,False,False,False
15,5,2,0,0,1,0,11,40178,6838,230148,80040,3875,4970,554,9337,9481,509,8,267680,0,0,0,13409,0,0.16,5280,-48.0,0.17019264273980786,2.8754122938530733,0.3937653814602133,0.9848117287205991,473.3677311509948,559.5715023077105,0.7796780684104627,False,False,False,True,True
2,7,2,0,1,1,0,11,824602,82888,3120146,1311391,117894,141546,5042,181655,167935,605,2,20900,0,2,0,31329,0,0.11,627,4573.333333333333,0.10051879573418449,2.379264460408833,0.02001340610935555,1.0816982761187364,892.2246140518531,74.0529083167486,0.8329023780255183,False,False,False,True,False
13,5,4,0,0,1,1,6,314418,69061,974505,190690,31625,76304,960,74507,72284,613,5,64930,0,1,0,35097,0,0.11,5499,741.0,0.21964709399589083,5.110414809376475,0.15668005812462604,1.0307536937634885,768.9366720110354,778.6791650303376,0.41446057873768083,True,False,False,False,False
14,7,1,0,0,1,1,11,314059,92056,2355487,982461,44963,163972,1563,79938,82380,604,1,29837,0,1,0,44378,0,0.12,9070,-814.0,0.29311689841717636,2.3975374086096037,0.20438054892063634,0.9703568827385287,437.2914604931639,618.658672539063,0.2742114507354914,True,False,False,False,False
13,9,2,0,0,1,0,14,54004,7503,452159,200044,8273,27211,0,12599,10423,509,6,110370,0,0,1,47225,0,0.19,2184,725.3333333333334,0.1389341530257018,2.2602977344984105,0.04624669137109582,1.208769068406409,472.1596274180294,264.18044645853513,0.3040314578663041,True,False,False,False,False
19,3,1,0,1,1,1,14,856623,160434,8041837,981251,63083,372883,0,234620,256670,756,1,95079,0,1,0,15476,0,0.17,1973,-7350.0,0.18728658931642042,8.19549432306311,0.1274877229258206,0.914092024778899,847.3297553015033,35.546510677403,0.1691763904495512,False,True,False,False,False
12,7,4,0,0,1,0,13,48491,11935,316291,94427,5931,7878,450,10809,11764,518,8,74504,0,0,0,24057,0,0.12,8300,-318.3333333333333,0.24612814749128703,3.3495822169506604,0.34501392526083885,0.9188201292077525,658.9896058640479,880.4779618620728,0.7528560548362528,True,False,False,False,False
3,5,3,0,0,1,1,6,57886,10016,551048,108776,6998,17378,159,17156,19878,517,2,198726,0,0,0,46448,0,0.17,39171,-907.3333333333334,0.17302974812562624,5.065896889019637,0.8433301756803306,0.8630646946372874,710.5105689328434,981.4298275351055,0.40269306019104617,True,False,False,False,True
2,4,2,3,0,1,1,9,352756,43532,2660455,943520,54788,287482,2927,103050,105539,551,8,77904,0,3,0,26562,0,0.15,5844,-829.6666666666666,0.12340541337354999,2.8197123537391895,0.22001355319629545,0.9764163010830119,510.3327822030098,331.2330099987548,0.19057888841736179,False,True,False,True,False
12,7,4,0,1,1,0,14,48081,4456,290482,58119,6534,26721,208,13375,14521,507,1,28306,0,1,0,42296,0,0.12,13570,-382.0,0.09267694099540359,4.99805571327793,0.32083412142992246,0.921079815439708,225.667067357317,895.8590477446442,0.24452677669248907,False,False,False,False,False
17,9,4,2,1,1,1,9,830710,146682,7403448,772599,123309,584066,1278,239611,246987,674,8,766312,1,0,2,8706,0,0.17,1117,-2458.6666666666665,0.17657425575712343,9.582523404767544,0.1283023202389157,0.9701360800366011,193.47793902663057,941.843995266414,0.2111216883023494,False,True,False,False,False
18,8,4,0,0,1,1,11,41647,10845,138747,64787,5001,9806,194,11660,12664,514,1,59765,0,0,0,4419,1,0.18,1939,-334.6666666666667,0.26040291017360195,2.141587046784077,0.4387870558949989,0.9207201516108654,315.4231474718573,446.92379329825303,0.509993881297165,True,False,False,False,True
5,2,2,0,1,1,0,13,50764,8128,261670,73112,2561,9581,0,10515,12520,513,3,64683,0,0,2,36128,0,0.13,4004,-668.3333333333334,0.1601134662359152,3.5790294342925923,0.1108281665190434,0.8398562300319489,157.72578517405066,66.64590406948379,0.2672998643147897,False,True,False,True,False
2,7,3,1,0,1,1,16,279290,29871,2217452,252548,30329,166383,1761,80259,80793,539,3,191115,0,0,0,43012,0,0.19,43012,-178.0,0.1069533459844606,8.780318988865483,1.0,0.9933905165051428,645.7091962664617,91.3519366915595,0.18228424778973815,True,False,False,True,False
7,4,4,0,0,1,0,13,47393,7036,316237,111636,5643,22513,0,13567,14714,509,9,97335,0,1,0,48217,0,0.12,34957,-382.3333333333333,0.14846074314772223,2.832751083879752,0.7249932596387166,0.9220470300394182,925.7665705796315,520.1589989484286,0.2506551770088393,False,False,True,False,False
3,3,5,0,0,1,1,12,48448,3544,420565,161466,5770,7346,156,9913,9271,504,3,14856,1,1,1,36750,0,0.2,3790,214.0,0.07315059445178336,2.6046659977952014,0.10312925170068027,1.069248193290907,277.5856164497728,587.9227595377555,0.7854614756329975,False,False,True,False,False
5,3,3,0,0,1,1,16,261942,58807,1894865,632508,43331,67102,0,57214,68647,585,2,111492,0,2,0,39616,0,0.17,7725,-3811.0,0.22450389780943872,2.9957961006026803,0.19499697092084006,0.8334522994449867,244.8584245140265,589.2075888036421,0.6457482638371435,False,False,True,False,False
17,1,2,2,0,1,1,16,57180,5784,154654,76027,3769,11856,446,12519,10775,507,7,8428,0,0,1,3487,0,0.19,992,581.3333333333334,0.10115424973767051,2.03419837689242,0.28448523085747063,1.1618561484918795,321.7083960789874,399.31648767413066,0.31789811066126855,False,True,False,True,False
17,5,2,0,1,1,0,10,335471,54720,675419,123048,42586,184603,2246,83785,100385,583,5,301260,0,0,0,17669,2,0.11,335,-5533.333333333333,0.1631139502371293,5.489069306286978,0.018959760031693928,0.8346366489017284,443.770347885027,584.9459771400118,0.230689642096824,False,False,False,False,True
18,4,2,0,0,1,1,7,43420,4056,220807,99491,2667,11623,148,10563,10557,506,4,284304,0,0,0,5655,0,0.19,558,2.0,0.09341317365269461,2.2193665758711845,0.0986737400530504,1.0005683432793406,758.9754158273596,662.0524632469467,0.22945883162694658,True,False,False,False,False
14,5,2,1,1,1,0,5,985919,197922,5879760,1057571,104061,311722,0,242912,255203,759,1,80970,0,1,0,22892,0,0.15,22892,-4097.0,0.2007487430508997,5.559683463332486,1.0,0.9518383404583802,305.6935129582984,870.7347256409888,0.3338262939413965,False,False,False,False,True
19,9,4,0,0,1,0,15,58570,3400,225172,102705,8597,26446,0,12679,11679,505,3,268005,0,1,0,14271,0,0.16,5245,333.3333333333333,0.058050196346252345,2.192415169660679,0.3675285544110434,1.0856237691583184,15.79084822794552,254.76313647728,0.32507751644861227,False,False,True,True,False
6,2,2,0,0,0,1,3,332467,49460,830808,168024,29331,116383,2012,89845,95688,566,9,278487,0,0,0,6869,0,0.12,578,-1947.6666666666667,0.1487666445090791,4.944579345807742,0.08414616392487989,0.9389369617924923,421.92483755139943,441.21971576933896,0.2520213433233376,False,True,False,True,False
19,8,1,0,1,1,0,12,311047,75711,732576,169874,35623,148808,1845,76322,72884,600,9,643743,0,0,0,2333,1,0.15,67,1146.0,0.2434069449311519,4.312466887222294,0.0287183883411916,1.047170846825092,231.94337870581484,611.8458684669705,0.23938901134347615,True,False,False,False,False
4,0,2,0,3,1,0,10,57149,7963,393296,190692,6016,14438,0,12642,11774,511,4,151304,0,3,1,21819,0,0.15,12273,289.3333333333333,0.13933752121646922,2.062467224634489,0.5624914065722535,1.0737217598097504,645.1658780955279,315.05860972809774,0.41667821027843194,False,False,False,False,False
2,0,2,0,0,1,1,3,56108,14507,171871,71434,5505,10604,0,13341,15420,520,4,325424,1,0,0,49704,0,0.13,2899,-693.0,0.25855492977828476,2.4060111431531204,0.05832528569129245,0.8651750972762646,148.6585263963156,634.5529266906943,0.5191437193511882,False,False,False,False,False
16,7,3,0,0,1,0,7,54605,13064,183399,43986,6956,15249,576,11256,9928,518,8,58616,0,1,0,24491,0,0.12,2306,442.6666666666667,0.23924549033971249,4.169485745464466,0.09415703727900045,1.1337630942788075,290.59310014405406,983.6179463133445,0.4561610597416224,False,False,True,False,False
13,9,5,0,1,1,1,13,276718,47632,629054,111260,41868,207185,2525,81724,89140,557,8,472336,0,1,0,36617,1,0.17,15608,-2472.0,0.17213191769237995,5.653909760920366,0.42625010241144823,0.9168050258021091,192.56770557225366,99.49957590095993,0.2020802664285542,False,True,False,False,True
12,0,2,0,0,1,0,4,45525,7600,438083,102901,3718,21156,304,13429,11857,510,5,79825,0,1,0,19976,0,0.16,312,524.0,0.16694124107633168,4.257325001700663,0.015618742490989187,1.1325799106013326,187.2810118737801,310.4323156661264,0.17574210625827189,False,True,False,False,False
10,1,1,1,0,0,0,12,51144,7197,222922,82812,4336,24189,0,12765,14520,511,7,265951,0,1,0,21560,0,0.19,2650,-585.0,0.14072031909901456,2.6919045548954257,0.12291280148423006,0.8791322314049587,867.7681950242696,41.99749894767313,0.1792550332795899,False,False,True,True,True
3,2,4,0,0,1,0,9,325076,84980,3148294,1049547,22028,93946,0,67248,56444,605,9,466578,0,0,0,18800,0,0.14,552,3601.3333333333335,0.26141579199940934,2.9996693811711146,0.029361702127659574,1.1914109559917794,988.877882920492,161.06569381730628,0.2344751240074085,False,False,False,True,False
9,9,4,0,1,1,0,7,927957,103049,7755674,1179749,145644,527727,2426,242653,213107,657,4,374112,0,1,1,32730,2,0.19,4073,9848.666666666666,0.11104932663905763,6.574003453276926,0.12444240757714635,1.138643967584359,22.567542038061884,134.125182215332,0.2759836051594859,False,False,True,False,False
16,7,4,0,0,1,1,5,54173,7702,157752,53321,5401,27270,0,15041,13123,510,1,51086,0,1,0,4651,0,0.1,3698,639.3333333333334,0.1421741457921843,2.958534161024737,0.7950978284239948,1.1461556046635677,320.67551909399725,67.97451830117551,0.19805647231389806,False,False,True,False,True
7,0,2,1,0,0,1,2,278471,16266,985802,332091,29943,43405,0,69877,75977,518,7,192136,0,1,0,13127,0,0.12,3347,-2033.3333333333333,0.05841182744343217,2.9684694857734777,0.25497067113582694,0.9197125445858615,360.09882554399644,97.70856843120335,0.6898513996083401,False,False,True,False,False
10,5,4,0,1,1,0,3,43499,12507,227081,95314,5574,27413,119,12496,14589,518,2,187034,0,0,1,8346,0,0.2,1071,-697.6666666666666,0.2875238511230143,2.3824516860062532,0.12832494608195544,0.856535746110083,25.84233795491464,27.61576152164158,0.20333418451099844,False,True,False,False,False
5,6,4,0,0,1,0,5,340047,48087,983251,426029,42870,250825,2644,96892,83420,564,1,84031,0,0,0,19179,0,0.11,1263,4490.666666666667,0.1414128047005267,2.307943825420335,0.06585327702174253,1.1614960441141213,16.5873010883002,227.2322403292789,0.17091597727499253,False,True,False,True,False
18,3,2,0,1,1,0,7,1172932,126183,11700213,3629456,178757,619964,4786,294200,309225,680,4,131224,0,0,0,34967,0,0.17,5070,-5008.333333333333,0.10757912649667671,3.2236822818626263,0.14499385134555437,0.9514107850270839,612.5208300916498,300.49265151304695,0.28833448393777705,True,False,False,False,False
17,9,4,0,2,1,0,7,1025579,231502,3421620,1356815,160380,800371,5672,207732,180103,805,6,201726,0,1,1,26170,0,0.11,611,9209.666666666666,0.22572810090690235,2.521802898700265,0.02334734428735193,1.1534066617435579,128.58273406774646,468.7912363004869,0.20038207281373263,False,False,False,False,True
13,4,1,0,1,1,1,13,1147965,186506,8747243,2851686,147006,760598,0,311896,270417,790,6,303300,0,1,0,33898,2,0.2,14237,13826.333333333334,0.1624666257246519,3.0673934647783803,0.4199952799575196,1.1533890250982741,79.38163520220142,175.20211149723863,0.19327686898992635,False,False,False,False,False
4,4,3,0,0,0,1,4,347701,26110,1769442,215700,25812,58910,2852,99604,96386,531,3,252618,0,1,0,29703,0,0.15,2005,1072.6666666666667,0.07509325541197753,8.2032545201669,0.0675015991650675,1.0333865914136908,536.9016252374738,30.444083091070052,0.4381599049397386,False,False,True,False,False
5,7,2,2,0,0,0,8,47864,5417,427726,190481,5448,9203,0,9874,11577,507,5,200150,0,0,1,3621,0,0.17,1328,-567.6666666666666,0.11317482868126358,2.245504801003775,0.3667495167080917,0.8528979873887881,78.16368066595336,174.9719837942223,0.5919808758013692,False,True,False,False,False
7,1,3,0,1,1,0,9,927460,74624,2799362,980386,150434,806360,0,227016,247875,625,2,103540,0,0,0,23641,2,0.11,3251,-6953.0,0.08046061285661915,2.855367171705838,0.1375153335307305,0.9158487140695916,17.22155669497971,983.0776769871002,0.18655935314251698,False,False,True,True,True
15,9,2,0,2,1,0,19,44414,7691,400322,88788,4128,16820,324,12870,14104,512,7,358442,0,1,0,23671,0,0.11,3077,-411.3333333333333,0.1731661187913721,4.508739919808983,0.12999028346922395,0.9125070901871809,984.2965309670094,527.7096782220325,0.24542211652794294,False,False,True,True,False
7,4,1,0,0,1,1,10,57731,4322,424639,111109,4907,7552,0,16462,16857,506,4,249736,0,1,0,31594,0,0.15,1843,-131.66666666666666,0.07486445757045608,3.8218236146486784,0.058333860859656896,0.9765675980304918,899.6628961644917,713.8064200663288,0.6497616525423728,False,True,False,False,True
19,4,4,3,1,1,0,16,313350,93497,1575743,767462,52006,62587,819,84074,78539,640,8,789432,0,0,0,43240,1,0.19,22052,1845.0,0.29837880963778524,2.0531869981836235,0.5099907493061979,1.0704745413106864,737.8388103227951,610.0181421956368,0.8309393324492307,True,False,False,False,False
7,8,1,0,2,1,1,16,46070,12373,158715,65380,5099,30210,0,13447,14110,516,1,59009,0,1,1,38683,2,0.1,1692,-221.0,0.26856956804862164,2.427577240746406,0.04374014424941189,0.9530120481927711,323.0968770890719,141.0839539679064,0.1687851704733532,False,False,False,False,False
5,7,2,0,1,1,1,7,51983,4981,416125,185793,3294,12987,0,11613,13192,506,3,192942,0,0,0,31696,0,0.15,7792,-526.3333333333334,0.09581978723813554,2.2397237786138335,0.2458354366481575,0.8803062462098241,559.532600016504,262.9137900367332,0.25363825363825365,False,False,True,False,False
13,4,2,0,0,1,1,12,1128429,76097,4145206,933326,61153,216613,4297,337269,341023,626,1,1556,0,2,1,21144,0,0.18,4872,-1251.3333333333333,0.06743623214220833,4.441327038998163,0.2304199772985244,0.9889919448248359,633.9817759418504,3.9176475115814124,0.28231454252514854,False,True,False,False,False
1,2,5,0,1,1,1,11,48224,11360,362225,117518,5217,26383,0,13122,10763,516,1,3179,0,0,0,24707,0,0.11,1822,786.3333333333334,0.23556735235567353,3.082293776272571,0.07374428299672157,1.2191768094397473,373.00009175886396,541.5602032998592,0.19774096956373421,True,False,False,False,False
16,0,5,0,0,1,0,17,347227,91304,3455839,1490384,50267,166541,0,69563,58502,652,9,235269,0,0,0,1841,0,0.11,332,3687.0,0.2629519017818315,2.3187574477450106,0.18033677349266702,1.1890704591296024,513.3170725919769,224.48174787628105,0.3018295795029452,False,False,False,True,True
4,9,3,0,2,0,0,4,46064,12205,205077,76351,4564,24351,0,13527,11242,520,7,39683,0,1,1,8362,0,0.13,1714,761.6666666666666,0.2649574505036471,2.6859766080339487,0.2049748863908156,1.2032556484611279,438.2017088257677,463.43421011590124,0.18742556773849123,False,True,False,False,False
9,1,4,0,0,1,1,7,50944,3364,343385,167948,5475,25839,457,11048,10251,505,7,362243,0,0,0,34397,0,0.14,1051,265.6666666666667,0.06603329145728644,2.0445911829852097,0.030554990260778556,1.0777485123402595,914.2082533944958,889.832629166475,0.21188900499245328,True,False,False,True,False
16,7,4,0,2,0,1,10,240144,22994,1950611,223454,26921,125389,0,64468,58596,538,2,83350,0,0,1,31876,0,0.1,4941,1957.3333333333333,0.09575088280365114,8.72936264287057,0.155006901744259,1.1002116185405146,101.879993455261,794.8158000644909,0.21469985405418338,False,False,True,False,True
18,2,5,0,0,1,1,15,263890,43491,1548080,435417,16157,47641,0,64482,66047,567,2,97168,0,0,0,29737,0,0.13,19354,-521.6666666666666,0.16480730607450073,3.555396321227697,0.650839022093688,0.9763047526761246,94.00118252630119,506.93053948916275,0.3391406561575114,False,False,False,False,False
8,6,3,0,0,0,1,7,245055,58008,851573,239093,28120,49652,1734,73336,62978,597,1,56706,0,0,1,20392,1,0.13,2868,3452.6666666666665,0.2367142070147518,3.561681019519601,0.14064338956453512,1.1644701324271969,970.96885590439,424.82321419865076,0.5663417384999597,False,False,False,False,True
17,4,4,2,0,1,1,16,47994,11804,436594,48083,2470,3494,423,13964,12079,515,9,533448,0,0,2,49614,0,0.13,2233,628.3333333333334,0.24594741009292828,9.080007487053637,0.045007457572459386,1.1560559648977564,64.0981177754456,286.86614516623143,0.7069261591299371,False,False,False,False,False
