business_size,business_time,business_industry,business_structure,business_location,business_job_openings,business_review,plat_customer_support_cnt_t3m,plat_dashboard_cnt_t3m,plat_terminal_flag,plat_trsct_acct_flag,plat_saving_acct_flag,plat_login_cnt_t1m,fin_revenue,fin_profit,fin_assets,fin_liabilities,tran_vol_t1m,tran_vol_t3m,tran_cnt_t1m,tran_cnt_t3m,tran_inflow_t3m,tran_outflow_t3m,credit_score,credit_lines_cnt,credit_current_amt,credit_default_cnt_t12m,credit_inquiry_cnt_t3m,credit_inquiry_cnt_t12m,credit_court_cnt_t12m,loan_amount,loan_late_repayment_cnt,loan_interest_rate,loan_start_date,loan_maturity_date,loan_utilization_amount,loan_last_late_date,default
small,10,services,partnership,urban,6,3,1,1,0,1,0,15,50147,7263,140911,15979,8195,44885,0,0,14304,15063,511,3,269205,0,0,0,2,2138,2,0.19,2024-09-30,2024-10-01,422,2024-09-30,0
medium,12,retail,partnership,urban,2,4,1,0,0,1,0,7,259011,58176,535347,136240,37773,210482,0,0,72332,57958,569,1,18847,0,0,0,1,40361,0,0.17,2024-09-30,2024-10-01,9249,1900-01-01,0
medium,15,hospitality,sole trader,rural,4,2,2,0,1,0,0,12,282093,31755,1502332,211743,13713,53053,500,1096,82143,71500,547,8,368032,1,1,3,1,2854,1,0.16,2024-09-30,2024-10-01,1753,2024-09-30,1
small,4,retail,partnership,urban,3,4,0,1,1,1,0,3,59841,12722,136989,60720,7050,27749,100,248,14383,14378,521,1,75624,0,1,3,0,47336,1,0.11,2024-09-30,2024-10-01,1953,2024-09-30,0
small,11,retail,company,rural,5,4,1,1,1,0,1,7,49145,12267,438903,68234,7214,7599,100,248,12194,14390,520,4,395320,0,0,0,0,16224,0,0.19,2024-09-30,2024-10-01,6868,1900-01-01,1
large,13,manufacturing,sole trader,urban,5,1,0,0,1,1,0,10,927164,74662,7136285,2830576,91832,247403,0,0,251175,251091,585,8,342976,0,0,0,0,47009,0,0.14,2024-09-30,2024-10-01,8579,1900-01-01,0
medium,13,retail,company,suburban,8,3,2,0,1,1,0,6,331003,20118,2970188,1336640,35022,119836,0,0,91763,91719,524,9,813789,0,0,0,0,30388,0,0.2,2024-09-30,2024-10-01,2026,1900-01-01,1
small,8,services,company,suburban,1,2,0,0,1,0,0,4,51316,9858,318815,102105,4314,6108,100,474,13860,15346,515,8,504248,0,0,0,0,40657,1,0.19,2024-09-30,2024-10-01,12909,2024-09-30,1
small,17,retail,partnership,rural,0,4,0,0,0,1,0,10,40552,3024,165626,22286,3513,6519,100,345,9450,9376,504,8,365632,0,1,1,0,11713,0,0.18,2024-09-30,2024-10-01,4158,1900-01-01,0
small,3,hospitality,company,rural,1,3,0,0,1,0,0,13,49081,3679,252299,49668,5971,6494,0,0,13049,13407,506,6,60486,0,0,0,1,16221,1,0.14,2024-09-30,2024-10-01,12044,2024-09-30,0
medium,3,retail,partnership,urban,7,2,2,1,0,1,0,14,241978,18931,870260,398305,32442,121052,500,2877,60902,69629,527,1,45199,0,0,0,0,28032,0,0.11,2024-09-30,2024-10-01,12755,1900-01-01,0
medium,11,hospitality,partnership,urban,1,3,0,0,0,1,0,10,253604,62086,2503685,1041925,17686,30988,0,0,67990,60073,571,4,80876,0,0,0,0,7887,0,0.16,2024-09-30,2024-10-01,778,1900-01-01,0
small,9,services,partnership,rural,9,2,1,0,1,0,0,15,52770,11616,238434,75698,3017,8552,100,316,11752,13906,519,8,779240,0,0,0,0,49542,0,0.1,2024-09-30,2024-10-01,9220,1900-01-01,0
small,8,manufacturing,partnership,suburban,1,2,1,0,1,1,0,13,45330,12519,299406,129426,4820,13312,100,571,12238,11525,520,3,158355,0,2,2,0,32395,0,0.18,2024-09-30,2024-10-01,2862,1900-01-01,1
large,8,hospitality,company,urban,8,1,0,0,0,0,1,3,975661,71236,7412767,3577453,132714,141304,0,0,238446,261016,581,7,659155,1,2,2,0,41475,0,0.13,2024-09-30,2024-10-01,1843,1900-01-01,0
small,13,hospitality,company,rural,7,5,0,1,0,1,1,15,49188,10441,155831,65105,6400,23878,100,323,13945,15579,517,1,49670,0,0,0,0,44041,0,0.13,2024-09-30,2024-10-01,12331,1900-01-01,0
small,9,hospitality,partnership,urban,0,2,0,0,1,1,1,5,55578,9635,523281,202826,2444,10457,100,340,13541,14764,512,9,620316,0,1,2,0,44596,0,0.17,2024-09-30,2024-10-01,18024,1900-01-01,1
small,9,services,company,rural,1,2,0,0,0,0,1,14,55037,15035,347702,68975,3017,11456,100,561,11177,12854,519,3,90351,0,0,0,0,23322,1,0.13,2024-09-30,2024-10-01,12924,2024-09-30,0
medium,11,services,partnership,suburban,7,2,3,0,0,1,1,19,306144,51744,2446266,573095,49053,285313,0,0,61858,51976,572,4,192868,0,1,2,0,23499,0,0.12,2024-09-30,2024-10-01,15274,1900-01-01,0
small,9,retail,company,suburban,4,2,0,0,1,1,0,4,47161,7531,232858,59512,2464,3423,0,0,10592,9741,512,7,66129,0,0,0,0,20745,0,0.16,2024-09-30,2024-10-01,1020,1900-01-01,1
medium,14,services,company,rural,4,4,1,0,0,1,0,16,333815,98321,2524230,355118,48845,171003,0,0,74415,70463,621,1,62751,0,0,0,0,15946,0,0.2,2024-09-30,2024-10-01,2611,1900-01-01,0
medium,13,hospitality,sole trader,rural,2,5,0,1,0,1,0,11,309168,82471,1769460,606004,30086,89668,0,0,69798,82070,619,5,297995,0,1,3,0,29182,0,0.17,2024-09-30,2024-10-01,1082,1900-01-01,0
small,9,services,sole trader,suburban,2,1,0,1,1,1,0,19,54683,5940,414126,171962,2995,3211,0,0,15136,15325,508,9,630396,0,0,0,1,44889,1,0.11,2024-09-30,2024-10-01,5836,2024-09-30,0
small,16,manufacturing,sole trader,urban,7,2,1,0,1,1,1,15,52876,14752,199578,53988,7465,11352,100,141,12705,14914,520,4,114848,0,1,1,0,49615,0,0.15,2024-09-30,2024-10-01,2977,1900-01-01,0
small,5,retail,company,suburban,2,1,0,0,1,1,0,6,41681,8995,127416,30504,6613,35380,0,0,11349,12767,513,3,54135,0,0,0,0,11988,2,0.16,2024-09-30,2024-10-01,669,2024-09-30,0
small,11,retail,sole trader,suburban,6,4,0,1,0,0,1,14,52708,5827,128712,20390,8587,12683,0,0,14331,16699,509,8,673896,0,1,1,0,12826,2,0.12,2024-09-30,2024-10-01,1419,2024-09-30,0
medium,19,retail,company,urban,4,4,0,0,0,1,0,14,297775,85470,1484376,460144,36100,165948,0,0,72847,61194,631,7,631309,0,0,0,0,11848,0,0.19,2024-09-30,2024-10-01,3140,1900-01-01,0
small,12,services,partnership,suburban,4,5,3,0,0,1,1,8,46680,3986,174186,50176,6752,34832,100,177,11712,10112,506,8,549096,0,2,6,0,32281,0,0.19,2024-09-30,2024-10-01,601,1900-01-01,1
small,11,hospitality,partnership,urban,6,5,0,1,1,1,1,16,56454,7862,476756,91277,5971,27062,0,0,11994,10577,511,2,82062,0,2,4,0,4638,0,0.1,2024-09-30,2024-10-01,1272,1900-01-01,0
small,2,manufacturing,partnership,suburban,1,3,2,0,0,1,1,12,49689,5834,454516,203873,5265,26139,0,0,14834,16524,508,9,74169,0,1,2,1,13000,0,0.16,2024-09-30,2024-10-01,1885,1900-01-01,0
small,16,services,sole trader,urban,6,4,0,0,1,1,1,6,42950,2563,290920,50280,3250,3967,0,0,8706,9572,503,2,138270,1,2,6,0,41251,1,0.13,2024-09-30,2024-10-01,7700,2024-09-30,0
medium,5,hospitality,company,suburban,4,2,1,0,1,1,1,5,282743,75334,1629767,356817,46269,277069,0,0,71772,67691,601,5,428370,0,0,0,0,5788,0,0.17,2024-09-30,2024-10-01,1314,1900-01-01,1
medium,16,services,sole trader,urban,0,2,0,0,1,1,1,17,322957,90319,2139627,709311,26825,88158,500,2329,95730,89062,621,6,20142,0,1,3,0,17559,0,0.11,2024-09-30,2024-10-01,1075,1900-01-01,0
small,16,manufacturing,company,urban,6,4,0,0,1,0,0,11,46296,11502,179372,73094,3012,9252,0,0,11223,9861,515,1,58244,0,0,0,0,21254,1,0.14,2024-09-30,2024-10-01,3100,2024-09-30,0
small,5,services,partnership,rural,5,2,0,1,1,1,0,16,59034,16204,120346,42904,6117,29616,0,0,17466,15746,521,7,40215,0,0,0,1,35819,0,0.17,2024-09-30,2024-10-01,9104,1900-01-01,1
small,19,services,sole trader,rural,7,4,0,0,0,0,1,1,40783,2614,352260,102940,4338,21330,0,0,12233,13536,503,8,150016,0,0,0,0,48117,0,0.11,2024-09-30,2024-10-01,9410,1900-01-01,0
small,7,services,sole trader,suburban,3,2,0,1,0,1,0,13,57467,8163,164881,23609,9211,43670,0,0,14943,14567,513,4,305860,0,1,3,0,24079,0,0.11,2024-09-30,2024-10-01,5939,1900-01-01,0
small,13,hospitality,company,rural,0,3,2,1,1,1,1,10,41865,2203,96403,37816,5305,6120,100,148,9669,8068,503,1,93840,1,1,1,0,34975,2,0.17,2024-09-30,2024-10-01,8722,2024-09-30,1
small,8,retail,sole trader,rural,0,2,0,0,1,1,1,13,42322,5815,407501,49866,5209,15141,100,299,12659,12785,508,4,199140,0,1,2,0,48526,0,0.2,2024-09-30,2024-10-01,7832,1900-01-01,1
large,9,retail,partnership,suburban,9,2,1,0,1,1,0,4,1070085,210472,9538515,1961530,70377,99392,0,0,260495,273451,773,4,64264,0,0,0,0,4767,0,0.11,2024-09-30,2024-10-01,1752,1900-01-01,0
large,14,services,partnership,urban,4,4,0,2,1,1,0,17,940289,95507,9222728,1146081,131654,273415,0,0,251471,214010,656,5,287455,0,2,2,0,16740,0,0.15,2024-09-30,2024-10-01,928,1900-01-01,0
small,16,retail,sole trader,rural,0,3,0,0,1,1,0,7,50427,8458,145713,51310,6139,36821,0,0,10552,9482,512,7,268667,0,0,0,0,3387,0,0.12,2024-09-30,2024-10-01,644,1900-01-01,0
medium,9,hospitality,sole trader,urban,7,1,0,1,1,1,0,11,273832,33011,726159,171493,27445,130630,0,0,78552,86259,547,5,279670,0,0,0,0,25085,0,0.18,2024-09-30,2024-10-01,1129,1900-01-01,0
medium,12,hospitality,company,rural,1,5,0,1,1,0,1,3,331216,18334,1314686,523894,21094,29992,500,1846,81559,69051,525,1,98550,0,1,3,0,32689,0,0.17,2024-09-30,2024-10-01,6129,1900-01-01,0
small,3,manufacturing,company,urban,2,4,3,0,0,1,0,19,48238,5176,378682,52747,3530,11541,100,321,13324,14628,506,6,233268,0,2,4,0,36478,0,0.2,2024-09-30,2024-10-01,5244,1900-01-01,1
small,12,retail,sole trader,rural,4,4,0,0,1,1,1,7,58536,12153,488129,103452,3664,13265,100,442,17111,15879,515,8,60224,1,0,0,0,5622,0,0.18,2024-09-30,2024-10-01,1096,1900-01-01,0
small,7,hospitality,sole trader,urban,1,5,0,0,0,1,0,11,49381,11625,361287,40014,2453,11804,100,108,12212,13583,516,1,35333,0,0,0,0,18981,0,0.15,2024-09-30,2024-10-01,2468,1900-01-01,1
medium,10,retail,partnership,suburban,8,2,0,0,1,1,1,9,271920,20331,1127438,249048,43445,103972,0,0,65710,66279,529,6,129258,0,0,0,0,44641,0,0.11,2024-09-30,2024-10-01,2381,1900-01-01,0
small,3,manufacturing,company,rural,0,3,0,0,1,1,1,7,59163,3114,146295,50641,4221,20486,0,0,15338,13369,504,7,115521,0,1,3,0,39653,2,0.12,2024-09-30,2024-10-01,22999,2024-09-30,0
small,14,retail,partnership,suburban,3,3,1,0,1,1,0,18,43863,3415,112326,28254,2933,15409,0,0,11603,9695,504,3,132918,0,0,0,0,12606,1,0.11,2024-09-30,2024-10-01,772,2024-09-30,0
large,13,manufacturing,company,rural,0,2,0,0,1,1,0,8,860970,204267,3328040,1528035,132268,399526,0,0,251873,218893,742,7,59878,0,0,0,0,19849,0,0.11,2024-09-30,2024-10-01,1220,1900-01-01,0
small,14,retail,partnership,urban,3,3,0,0,0,1,1,10,44505,10925,297184,65465,2066,3365,0,0,12208,12407,517,7,371147,0,1,1,0,15694,0,0.15,2024-09-30,2024-10-01,706,1900-01-01,1
large,14,services,company,urban,0,1,0,1,1,1,0,9,882987,53949,3578071,602957,63009,346708,1000,4036,218308,178475,583,3,296991,0,0,0,0,25351,0,0.17,2024-09-30,2024-10-01,3591,1900-01-01,0
small,8,manufacturing,sole trader,urban,6,4,0,0,1,0,1,9,48670,4734,459741,141358,6089,24454,100,493,10908,10814,508,4,144532,0,0,0,0,4581,0,0.11,2024-09-30,2024-10-01,3474,1900-01-01,0
medium,5,manufacturing,company,suburban,3,3,0,0,1,1,0,6,271425,53029,2437097,846246,34076,62949,0,0,79355,78298,573,8,328568,0,0,0,0,48228,0,0.17,2024-09-30,2024-10-01,12419,1900-01-01,0
large,9,services,sole trader,rural,9,4,0,1,1,1,0,7,927957,103049,7755674,1179749,145644,527727,1000,2426,242653,213107,657,4,374112,0,1,3,1,32730,2,0.19,2024-09-30,2024-10-01,4073,2024-09-30,0
small,12,manufacturing,partnership,urban,1,3,0,0,1,1,0,12,43261,3383,320544,84313,5571,24785,100,410,9936,9752,505,4,264364,0,0,0,0,36294,1,0.17,2024-09-30,2024-10-01,7198,2024-09-30,0
small,18,retail,company,rural,0,3,1,0,1,1,0,18,46717,3388,350911,78415,2185,6247,0,0,10841,12309,505,2,45280,0,2,2,0,5247,0,0.12,2024-09-30,2024-10-01,1629,1900-01-01,0
large,8,services,partnership,urban,2,4,0,0,1,0,1,11,872581,86286,4846230,1845009,70868,155435,1000,5746,206001,241075,600,1,94314,0,0,0,2,48429,0,0.11,2024-09-30,2024-10-01,3847,1900-01-01,0
small,6,services,sole trader,suburban,8,2,0,0,1,1,1,15,41678,2298,235831,115348,3040,16624,100,393,9366,10847,503,6,210114,0,1,3,0,4548,0,0.17,2024-09-30,2024-10-01,178,1900-01-01,0
small,16,services,sole trader,urban,4,2,0,1,0,1,1,6,44322,5798,120710,39437,4757,18443,0,0,13082,12901,509,2,49728,0,1,3,0,37831,0,0.12,2024-09-30,2024-10-01,10088,1900-01-01,0
medium,12,retail,company,urban,4,2,0,1,1,1,1,15,333786,78025,1151552,160066,39524,226688,500,1534,73105,69560,610,3,74535,0,0,0,0,10164,0,0.11,2024-09-30,2024-10-01,762,1900-01-01,0
medium,13,manufacturing,company,rural,6,1,0,0,0,0,1,12,274614,77095,1264539,576278,36159,216032,0,0,82158,96356,592,9,877464,1,0,0,0,2363,0,0.18,2024-09-30,2024-10-01,118,1900-01-01,1
small,9,hospitality,sole trader,urban,8,2,1,0,1,0,1,7,53792,13644,314273,39944,7357,34243,100,471,13585,16246,520,9,435672,0,1,2,1,11747,0,0.2,2024-09-30,2024-10-01,4738,1900-01-01,0
small,7,manufacturing,company,rural,2,2,0,0,1,1,0,11,52023,14933,250779,80535,2686,9830,100,409,12166,10775,521,3,99414,0,1,1,0,43556,0,0.15,2024-09-30,2024-10-01,16104,1900-01-01,0
medium,1,services,partnership,suburban,2,1,0,0,1,1,0,11,301131,82575,928437,396711,32611,54298,500,2393,60247,60818,628,2,150454,0,0,0,0,15510,0,0.15,2024-09-30,2024-10-01,1913,1900-01-01,0
small,15,hospitality,company,suburban,8,1,0,1,0,1,1,6,45810,13250,227945,103000,5087,7160,100,506,9271,7559,519,2,198814,0,1,3,0,39288,0,0.13,2024-09-30,2024-10-01,12703,1900-01-01,0
small,2,services,sole trader,suburban,5,2,0,0,1,1,1,5,57856,13553,257980,79691,5527,13327,100,532,16528,19258,519,8,424288,0,0,0,0,44124,0,0.14,2024-09-30,2024-10-01,14965,1900-01-01,0
small,15,manufacturing,company,rural,0,5,0,0,1,1,1,7,40477,8013,305689,116791,4397,13920,0,0,8552,8196,511,5,286870,1,0,0,1,10533,0,0.2,2024-09-30,2024-10-01,3423,1900-01-01,0
large,9,hospitality,company,urban,4,2,0,1,1,0,1,4,951404,240638,3402492,985145,103741,179027,0,0,197092,161184,845,5,64260,0,1,2,2,34073,1,0.1,2024-09-30,2024-10-01,3407,2024-09-30,0
medium,5,services,company,suburban,5,2,1,1,1,1,1,19,359258,51995,1585541,189432,50513,80608,500,1118,106381,93382,575,1,67820,0,2,6,0,1046,0,0.2,2024-09-30,2024-10-01,662,1900-01-01,1
small,18,retail,sole trader,rural,5,4,1,1,1,1,0,13,52207,3358,380977,151112,3022,15624,0,0,14866,14396,505,1,33708,0,0,0,0,2097,1,0.19,2024-09-30,2024-10-01,336,2024-09-30,1
small,17,services,sole trader,suburban,9,2,2,0,1,1,1,10,56197,8106,272820,82318,5273,30723,100,568,12963,11979,509,1,4037,0,3,6,0,14121,0,0.17,2024-09-30,2024-10-01,3795,1900-01-01,0
small,14,retail,company,suburban,5,3,1,0,0,1,0,9,50443,11722,411438,53534,2624,5971,0,0,11647,9663,520,1,81594,0,0,0,0,4156,0,0.19,2024-09-30,2024-10-01,1161,1900-01-01,0
small,18,retail,partnership,urban,8,3,0,0,1,1,1,11,40664,8097,155215,46284,3596,20828,100,558,9884,11814,512,2,74146,0,0,0,0,37132,0,0.15,2024-09-30,2024-10-01,6684,1900-01-01,0
small,8,manufacturing,partnership,rural,7,2,1,2,0,0,1,12,42600,5256,264771,65151,4552,12457,100,414,12610,14981,506,4,261540,0,0,0,0,19426,0,0.14,2024-09-30,2024-10-01,8418,1900-01-01,0
small,4,manufacturing,sole trader,rural,1,1,0,1,1,1,0,5,53588,5890,374957,158986,3670,9276,0,0,11978,9595,509,2,120092,0,0,0,0,10844,0,0.14,2024-09-30,2024-10-01,1256,1900-01-01,0
small,12,services,sole trader,rural,7,1,0,1,0,1,0,9,58287,13036,286039,39669,4067,7982,0,0,12688,13060,518,8,253024,0,0,0,0,41499,1,0.13,2024-09-30,2024-10-01,5533,2024-09-30,0
medium,1,retail,partnership,rural,5,3,1,0,1,1,0,9,279107,53298,1565657,685455,34083,192754,0,0,67000,72251,590,2,123242,0,1,3,0,33338,0,0.15,2024-09-30,2024-10-01,2563,1900-01-01,1
small,2,manufacturing,sole trader,rural,0,4,0,3,1,1,0,13,50900,2885,288913,54669,5203,28247,0,0,14169,12203,503,7,21952,0,0,0,2,10130,0,0.16,2024-09-30,2024-10-01,582,1900-01-01,0
medium,12,retail,sole trader,urban,8,2,1,1,1,1,0,6,348380,83181,2923085,426213,28441,153906,0,0,100594,89521,608,6,112650,0,0,0,0,10002,0,0.18,2024-09-30,2024-10-01,2056,1900-01-01,0
small,13,manufacturing,sole trader,urban,9,2,0,0,0,0,1,13,51936,12473,303673,42210,4385,23611,100,270,13355,11168,519,5,414075,0,0,0,1,22073,0,0.12,2024-09-30,2024-10-01,671,1900-01-01,0
small,2,manufacturing,partnership,suburban,3,1,0,1,1,1,0,9,55399,8522,340391,125916,7060,14752,100,330,11646,13919,510,6,586434,0,0,0,0,43540,0,0.11,2024-09-30,2024-10-01,1107,1900-01-01,0
medium,12,hospitality,sole trader,urban,2,2,0,0,0,1,1,16,347197,24165,2862906,756865,47180,85665,0,0,84026,77422,540,3,136287,0,1,3,0,48412,1,0.13,2024-09-30,2024-10-01,20615,2024-09-30,0
small,4,retail,partnership,urban,1,2,0,0,0,1,0,10,54654,12996,217886,87424,3113,10715,0,0,14367,12519,519,6,498414,0,0,0,0,16153,0,0.2,2024-09-30,2024-10-01,767,1900-01-01,1
small,18,retail,sole trader,suburban,5,1,0,2,1,1,1,5,40787,4538,316364,32028,2189,11516,100,142,11211,11622,505,1,83148,0,0,0,0,27053,0,0.11,2024-09-30,2024-10-01,6793,1900-01-01,0
small,6,hospitality,company,rural,5,4,2,0,1,0,1,4,56069,6675,153648,74504,3496,11604,100,522,16618,14834,508,5,233050,0,0,0,0,18410,0,0.13,2024-09-30,2024-10-01,844,1900-01-01,0
small,8,services,sole trader,suburban,7,3,2,1,0,1,1,14,58082,6868,373378,158997,3074,4924,0,0,14823,17220,511,4,128760,0,0,0,0,24425,0,0.16,2024-09-30,2024-10-01,4732,1900-01-01,1
medium,10,hospitality,partnership,rural,8,4,0,0,1,1,1,12,309003,41857,833201,236528,38021,223993,500,2235,90037,79447,557,5,223130,0,0,0,0,47999,0,0.17,2024-09-30,2024-10-01,2720,1900-01-01,0
small,10,manufacturing,company,rural,5,2,1,0,1,1,0,8,48916,4545,151154,44663,5261,26969,0,0,12135,12638,507,5,261195,0,2,2,0,28813,0,0.16,2024-09-30,2024-10-01,7401,1900-01-01,0
medium,14,services,sole trader,suburban,0,3,0,0,0,1,1,10,287352,25535,1223128,406357,25223,138911,0,0,74846,85303,530,2,30548,0,1,2,0,6635,0,0.11,2024-09-30,2024-10-01,2129,1900-01-01,0
small,18,retail,sole trader,urban,1,4,0,0,0,0,0,13,46392,8925,96743,22373,4227,17572,0,0,9639,8594,515,6,12024,0,0,0,1,35646,0,0.16,2024-09-30,2024-10-01,3624,1900-01-01,0
small,6,manufacturing,company,rural,7,2,3,0,0,1,0,12,59585,10601,295462,107840,6385,7094,0,0,13742,14884,514,2,191730,0,0,0,0,36323,1,0.11,2024-09-30,2024-10-01,5509,2024-09-30,0
small,1,retail,sole trader,rural,6,2,0,1,1,1,0,13,47002,7319,323359,85781,6315,34460,100,163,12216,11584,512,9,33408,0,0,0,0,1264,0,0.19,2024-09-30,2024-10-01,198,1900-01-01,1
small,11,services,partnership,suburban,1,5,0,2,1,1,0,7,44731,3178,140181,16189,3689,10552,0,0,11396,12012,504,1,81654,0,0,0,1,16340,0,0.12,2024-09-30,2024-10-01,2928,1900-01-01,0
small,19,manufacturing,partnership,urban,2,4,1,1,0,1,0,14,47388,11728,208957,31630,5719,11388,0,0,13735,14279,515,3,264936,0,2,2,1,36019,0,0.12,2024-09-30,2024-10-01,7144,1900-01-01,0
small,7,services,partnership,suburban,1,5,0,0,1,1,1,9,52866,7152,440345,73956,4552,9333,0,0,12550,10934,509,9,386010,0,0,0,0,45286,0,0.16,2024-09-30,2024-10-01,15397,1900-01-01,0
medium,14,services,partnership,urban,8,1,0,3,1,1,1,7,286959,19956,2046255,852916,32445,58367,500,1486,73950,66229,531,9,41391,0,0,0,0,28588,0,0.19,2024-09-30,2024-10-01,3002,1900-01-01,0
small,7,hospitality,sole trader,suburban,7,3,0,0,0,0,0,14,40379,9253,382515,41243,5704,9313,100,123,8908,10291,512,6,468738,0,0,0,0,30291,0,0.13,2024-09-30,2024-10-01,24637,1900-01-01,0
medium,18,manufacturing,sole trader,rural,6,4,1,0,1,1,1,4,330691,77353,3194521,1119558,41338,184086,500,918,66869,74751,621,4,88084,0,0,0,0,14470,0,0.19,2024-09-30,2024-10-01,2261,1900-01-01,0
medium,9,services,partnership,suburban,8,3,1,1,1,1,1,15,312156,70233,2470714,938731,51234,172178,500,2228,84898,81693,594,3,146385,0,1,1,0,29258,0,0.17,2024-09-30,2024-10-01,4023,1900-01-01,0
large,15,manufacturing,partnership,urban,9,1,0,0,1,0,0,7,847244,190424,8016765,2820725,61903,233246,1000,1379,244833,219369,750,9,241551,0,0,0,0,11792,0,0.13,2024-09-30,2024-10-01,712,1900-01-01,0
medium,3,services,partnership,rural,7,2,0,0,1,1,1,15,333049,44449,1919133,259161,44962,265764,500,1560,70953,77592,566,9,411012,0,2,6,0,42001,0,0.2,2024-09-30,2024-10-01,4813,1900-01-01,0
small,2,manufacturing,company,suburban,7,2,0,0,1,1,0,11,50051,4339,223438,39912,6303,16546,0,0,11700,13077,507,1,26327,0,0,0,0,38346,0,0.15,2024-09-30,2024-10-01,22528,1900-01-01,0
medium,2,retail,partnership,rural,1,4,1,1,0,1,0,12,264605,43435,1976768,415950,22616,28086,0,0,57810,53074,558,9,239742,0,0,0,0,39083,0,0.1,2024-09-30,2024-10-01,10846,1900-01-01,0
small,9,retail,company,rural,6,2,0,1,0,1,0,4,52157,13910,447513,86402,7471,37027,100,371,10746,9835,516,4,316880,0,0,0,0,26506,0,0.14,2024-09-30,2024-10-01,9410,1900-01-01,0
large,10,manufacturing,company,urban,4,5,1,1,1,1,0,15,859953,203295,4355421,1148909,36667,64324,0,0,202838,192473,797,6,393672,0,1,1,0,41715,0,0.12,2024-09-30,2024-10-01,8056,1900-01-01,0
medium,6,manufacturing,company,urban,4,4,0,1,1,1,1,15,347202,57467,2368550,1111880,30393,108128,0,0,74821,71391,576,5,455440,0,1,3,0,19677,0,0.16,2024-09-30,2024-10-01,743,1900-01-01,1
small,6,services,sole trader,urban,8,3,1,0,1,1,0,5,47051,13991,298751,121810,5613,5904,0,0,13640,15436,516,6,248130,0,0,0,0,40291,1,0.17,2024-09-30,2024-10-01,14337,2024-09-30,1
small,16,retail,partnership,rural,9,1,0,0,1,1,1,5,56478,14785,241004,61703,5083,14944,100,138,14306,13707,522,1,67411,0,0,0,0,34812,0,0.15,2024-09-30,2024-10-01,3771,1900-01-01,1
medium,5,services,company,urban,8,4,1,0,1,1,0,9,286672,22170,998636,452717,24205,55115,500,1642,82162,74378,537,7,552146,0,1,2,0,35483,0,0.2,2024-09-30,2024-10-01,8279,1900-01-01,0
